num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
10,8,31,8,9,6,17,42,49,27,lz4,1,26.89,0.037188546
10,8,34,8,9,6,17,42,49,27,lz4,1,25.84,0.03869969
11,1,18,3,16,7,8,45,53,11,lz4,1,28.41,0.035198874
10,8,27,8,9,6,17,42,49,26,lz4,1,28.76,0.034770515
11,1,1,3,16,7,8,46,53,5,lz4,1,28.83,0.034686091
10,6,11,6,11,6,12,43,50,21,lz4,1,28.99,0.034494653
11,1,41,3,16,7,10,45,53,13,lz4,1,27.69,0.036114121
10,8,29,8,9,6,17,42,49,26,lz4,1,27.99,0.035727045
11,1,39,3,16,7,10,45,53,16,lz4,1,28.36,0.035260931
10,8,23,8,9,6,16,42,49,26,lz4,1,27.92,0.035816619
10,6,39,6,12,6,14,43,51,21,lz4,1,29.21,0.034234851
10,8,29,8,9,6,17,42,49,26,lz4,1,28.58,0.034989503
11,1,40,3,16,7,10,45,53,15,lz4,1,28.15,0.035523979
11,1,1,3,16,7,8,46,54,4,lz4,1,22.09,0.045269353
11,1,24,3,16,7,9,45,53,12,lz4,1,28.36,0.035260931
11,1,40,3,16,7,10,45,53,15,lz4,1,24.41,0.040966817
11,2,13,4,15,7,9,44,52,13,lz4,1,28.48,0.03511236
10,8,30,8,9,6,17,42,49,27,lz4,1,28.86,0.034650035
11,1,26,3,16,7,8,45,52,17,lz4,1,27.34,0.036576445
10,8,29,8,9,6,17,42,49,27,lz4,1,30.4,0.032894737
