repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
8,75,635,-2,212,14,9253,409,45871.56
8,107,513,-4,178,13,6275,123,44444.45
0,95,606,-5,178,14,4149,497,46948.36
7,113,440,-3,174,16,9461,115,46082.95
7,81,558,-3,164,11,7041,281,45045.04
9,111,479,-4,173,13,6134,82,40000
7,100,512,-3,200,16,10315,194,48076.92
6,99,389,-4,184,8,4511,197,45454.55
5,38,576,-3,302,19,10645,475,47619.05
7,79,791,-5,180,15,5801,281,47393.37
9,95,628,-5,174,14,5441,137,49261.09
10,104,722,-2,220,14,11002,478,44052.86
4,82,452,-3,116,10,6356,460,46511.63
5,58,320,-2,160,8,8321,372,37313.43
9,79,861,-5,155,14,4357,135,37037.04
6,48,521,-3,277,17,12192,411,35587.19
5,70,520,-2,158,10,7687,415,41841
8,122,445,-4,178,11,5690,70,42372.88
5,43,247,-1,140,6,8912,394,42553.19
10,87,916,-5,139,14,7071,307,37453.18
6,72,507,-4,176,12,6153,320,39062.5
8,98,420,-4,179,10,4597,181,42918.46
5,76,438,-3,180,11,8088,326,48309.18
6,80,462,-3,196,12,10425,370,46728.97
7,96,480,-4,183,10,5373,178,49019.61
10,87,822,-5,158,15,5477,233,49751.24
4,96,399,-4,190,7,3749,187,48543.69
5,85,744,-5,171,14,5929,347,48543.69
10,100,582,-4,167,15,4863,99,46728.97
5,73,410,-3,168,10,8091,301,44642.86
5,93,722,-4,195,14,4932,350,45871.56
