num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
10,7,26,8,9,6,17,43,49,27,lz4,1,27.1,0.036900369
12,5,12,2,17,8,9,39,51,11,lz4,1,28.06,0.035637919
10,8,32,8,9,6,17,42,49,27,lz4,1,28.57,0.03500175
19,16,30,0,19,10,24,21,55,31,snappy,1,27.53,0.03632401
17,17,47,1,18,9,19,38,40,17,snappy,1,24.25,0.041237113
19,23,50,0,19,10,23,38,36,10,snappy,1,26.33,0.037979491
11,1,1,3,16,7,5,45,53,7,lz4,1,28.05,0.035650624
19,23,49,0,19,10,23,39,36,11,snappy,1,26.94,0.037119525
10,8,30,8,9,6,17,42,49,27,lz4,1,28.89,0.034614053
11,1,12,3,16,7,7,47,54,9,lz4,1,27,0.037037037
19,22,48,0,19,10,23,28,43,15,snappy,1,26.52,0.037707391
10,8,26,8,9,6,17,42,49,27,lz4,1,29.29,0.034141345
10,8,29,8,9,6,17,42,49,26,lz4,1,28.25,0.03539823
19,23,50,0,19,10,23,33,32,24,snappy,1,26.99,0.03705076
19,18,43,0,19,10,24,22,50,21,snappy,1,28.23,0.035423309
18,25,44,3,15,10,25,32,31,32,snappy,1,20.3,0.049261084
10,9,31,8,9,6,17,42,49,27,lz4,1,29.81,0.03354579
19,23,50,0,19,10,23,35,37,11,snappy,1,27.81,0.035958288
10,4,35,6,12,6,15,44,51,26,lz4,1,29.76,0.033602151
14,11,28,2,17,8,13,43,46,14,lz4,1,27.49,0.036376864
11,1,5,3,16,7,6,46,53,8,lz4,1,29.2,0.034246575
14,11,24,2,17,9,12,37,45,14,lz4,1,29.29,0.034141345
11,2,38,3,16,7,12,44,53,22,lz4,1,29.55,0.033840948
10,8,29,8,9,6,17,42,49,27,lz4,1,28.43,0.035174112
19,23,49,0,19,10,23,39,36,10,snappy,1,27.05,0.036968577
19,23,52,0,19,10,23,32,37,12,snappy,1,27.88,0.035868006
19,14,29,0,19,10,24,20,56,37,snappy,1,28.67,0.034879665
19,23,51,0,19,10,23,34,33,21,snappy,1,26.79,0.037327361
19,23,50,0,19,10,23,33,38,11,snappy,1,28.62,0.034940601
19,23,50,0,19,10,23,33,33,17,snappy,1,27.6,0.036231884
10,5,32,6,13,7,14,43,51,25,lz4,1,30.83,0.032435939
