repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
2,120,532,-2,176,12,7002,260,44843.05
7,124,468,-4,182,13,6956,69,42918.46
2,58,641,-5,204,17,9671,318,44247.79
10,95,495,-5,122,12,1664,140,45871.56
6,102,577,-4,201,14,8685,95,45454.55
5,57,716,-4,216,16,5239,291,46082.95
7,89,740,-4,183,13,6950,93,45454.55
4,56,678,-4,250,17,8248,380,43478.26
3,68,654,-4,252,18,7502,428,25906.73
4,63,949,-3,174,17,11184,264,42735.04
9,86,560,-5,146,14,2329,178,43290.04
1,68,492,-4,171,13,9789,224,44843.05
5,57,567,-3,271,18,9500,434,46728.97
7,75,612,-4,134,15,1877,214,45662.1
5,54,580,-4,292,19,11183,485,45248.87
3,74,634,-4,226,16,7642,336,45662.1
7,75,575,-4,214,16,4682,264,40322.58
3,77,571,-4,238,15,7671,232,47619.05
4,69,1033,-3,153,16,12285,223,42194.09
5,69,801,-4,199,16,9859,132,48309.18
7,74,851,-4,201,17,11929,149,33783.79
4,62,671,-4,247,18,7820,415,43478.26
4,128,536,-1,185,12,7722,174,46948.36
2,52,782,-4,236,17,8837,400,34602.07
5,68,962,-3,161,15,10739,204,37453.18
5,44,433,-4,291,18,4454,435,45248.87
2,49,734,-4,250,18,8611,465,27027.03
7,89,686,-4,179,16,6604,177,37878.79
5,95,536,-3,223,14,7496,241,27027.03
4,74,599,-4,222,16,8124,309,47169.81
