repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
5,133,669,-2,112,8,11953,62,46082.95
9,107,140,-4,33,16,4429,56,46948.36
2,106,389,-3,183,9,5944,163,47169.81
8,107,588,-4,189,10,13411,199,47169.81
2,65,888,-4,180,13,10192,72,45871.56
5,52,988,-5,314,17,3769,245,46948.36
5,37,742,-5,220,16,10226,52,40000
6,48,480,-2,160,17,2752,111,37037.04
4,126,168,-2,189,15,9466,461,25380.71
3,65,824,-4,195,16,12366,256,40160.64
7,22,408,-2,179,20,2243,193,46948.36
2,39,1266,-5,302,22,11062,348,48780.49
3,67,1048,-4,150,14,10817,70,40160.64
3,97,309,-4,214,15,7790,375,35714.29
6,54,610,-5,208,15,10322,80,44052.86
5,84,435,-3,255,12,10997,217,37453.18
3,115,583,-3,260,9,11605,4,46728.97
3,66,603,-5,227,16,9492,285,41152.26
5,96,164,-2,237,15,10484,503,41152.26
1,51,927,-5,170,13,11063,131,40485.83
6,61,704,-5,237,16,10499,28,40485.83
2,47,1347,-2,120,15,11568,111,37453.18
6,64,669,-4,212,13,9362,289,43859.65
3,70,602,-3,170,12,9254,106,40816.32
3,113,829,-5,113,13,3185,284,32258.06
