repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
7,127,280,-3,138,13,11403,295,48543.69
4,103,652,-2,169,11,12645,73,47393.37
7,100,1010,-1,265,15,9454,73,44052.86
9,28,476,-4,241,15,17088,584,45662.1
7,40,1056,-5,260,12,10928,270,50000
8,97,667,-4,176,13,7770,99,44444.45
10,60,866,-1,125,8,2004,334,47846.89
6,46,575,1,87,8,-4251,266,45662.1
3,62,565,-2,224,6,13095,247,45248.87
10,91,810,-5,149,13,9977,136,48076.92
10,22,434,-5,245,14,16994,645,44247.79
10,80,853,-2,252,10,8949,131,49261.09
4,74,532,-1,218,8,7540,145,46511.63
9,48,1170,-5,244,11,11440,240,44843.05
5,87,517,-2,317,4,13802,170,46948.36
3,43,520,-3,240,8,11101,186,45248.87
6,70,840,-1,135,11,5564,337,43103.45
6,39,720,-1,241,3,13600,211,48076.92
10,39,1110,-4,271,12,12637,107,46948.36
7,74,729,-1,210,5,11357,222,47846.89
6,35,765,-5,157,7,14431,342,47619.05
7,100,609,-2,206,9,10425,187,46082.95
5,103,728,-3,181,8,11945,149,49019.61
7,72,717,-2,143,8,5749,265,46511.63
