num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
21,14,40,3,5,17,43,46,37,107,lz4,1,26.32,0.037993921
9,18,56,7,16,4,5,44,55,38,lz4,1,29.07,0.034399725
13,16,42,7,13,14,17,38,57,25,lz4,1,30.17,0.033145509
6,27,9,5,6,18,12,31,21,21,lz4,1,26.54,0.037678975
18,8,81,8,5,14,28,41,50,50,lz4,1,25.75,0.038834951
15,9,48,8,14,8,14,33,40,60,lz4,1,29.58,0.033806626
12,18,50,5,14,17,17,44,58,39,lz4,1,29.18,0.034270048
19,13,81,4,12,17,26,44,49,109,lz4,1,28.02,0.035688794
12,5,82,7,9,13,16,38,50,33,lz4,1,28.21,0.035448423
12,8,78,8,11,6,12,47,56,3,lz4,1,26.37,0.037921881
8,4,52,4,16,11,13,40,48,12,lz4,1,29.16,0.034293553
11,1,22,5,15,8,7,37,55,27,lz4,1,29.26,0.03417635
7,20,20,3,6,13,19,43,33,30,lz4,1,27.6,0.036231884
13,20,17,1,9,6,11,10,34,70,none,1,25.27,0.039572616
11,11,35,6,15,11,21,32,46,20,lz4,1,29.89,0.033456005
10,14,46,7,12,11,9,36,30,35,lz4,1,28.43,0.035174112
10,8,37,9,10,11,17,36,43,32,lz4,1,28.95,0.034542314
