repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
4,49,431,-5,144,11,8247,316,41493.78
4,70,650,-4,213,16,7973,272,48076.92
4,34,887,-4,277,19,13509,370,48076.92
4,47,570,-4,130,10,9787,271,46511.63
6,71,666,-4,227,16,4344,278,47619.05
6,91,498,-4,176,13,4481,183,43859.65
8,84,610,-4,177,16,4535,176,45248.87
8,82,679,-5,190,16,4150,174,48780.49
3,73,587,-4,228,18,5982,321,45662.1
9,83,513,-4,114,15,2376,136,44052.86
7,102,563,-3,180,15,6741,127,41493.78
5,70,712,-5,241,16,9395,166,42735.04
8,104,659,-5,197,15,9769,95,32894.74
5,103,494,-2,210,14,8518,260,43290.04
7,81,432,-2,263,13,14882,191,49504.95
1,35,289,-5,128,11,11429,386,45662.1
5,72,746,-4,219,16,5696,267,46728.97
4,75,505,-5,152,13,7368,343,46511.63
8,60,364,-2,283,14,13230,358,47393.37
2,55,466,-4,182,12,7279,259,44642.86
4,62,529,-4,181,12,6525,274,44247.79
3,105,527,-4,141,11,6631,401,46728.97
7,103,761,-5,96,11,504,360,45045.04
5,76,695,-4,202,16,9140,65,48076.92
5,91,480,-4,161,11,4725,310,29673.59
4,68,464,-4,120,9,7236,382,41841
6,81,506,-3,240,15,9893,288,44843.05
5,70,651,-4,250,16,10796,139,46082.95
2,65,544,-4,265,21,8319,517,47169.81
7,83,447,-2,275,11,14372,147,48309.18
3,55,684,-4,275,18,5230,492,31446.54
4,65,673,-4,241,17,7355,389,46948.36
