num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
10,2,27,8,9,6,13,29,50,88,lz4,1,27.08,0.036927622
10,8,32,8,9,6,17,42,49,27,lz4,1,27.94,0.035790981
9,7,50,4,12,8,12,33,40,25,snappy,1,28.59,0.034977265
10,5,40,8,9,6,16,34,51,64,lz4,1,29.54,0.033852404
10,8,27,8,9,6,17,42,49,27,lz4,1,29.8,0.033557047
9,9,32,7,10,7,18,41,46,27,lz4,1,30.11,0.033211558
10,12,33,8,9,6,17,39,52,54,lz4,1,27.1,0.036900369
10,10,29,8,9,6,17,39,51,47,lz4,1,29.31,0.034118048
10,8,33,8,9,6,18,36,53,48,lz4,1,28.2,0.035460993
10,8,44,9,9,7,17,42,46,29,lz4,1,29.31,0.034118048
10,8,43,8,9,6,17,42,49,27,lz4,1,28.82,0.034698126
10,8,36,9,10,8,17,40,44,32,lz4,1,28.97,0.034518467
10,10,30,8,9,6,17,41,48,37,lz4,1,28.21,0.035448423
10,1,31,8,9,6,13,26,51,104,lz4,1,27.48,0.036390102
10,8,26,8,9,6,17,42,49,28,lz4,1,27.93,0.035803795
10,8,26,8,9,6,17,41,48,28,lz4,1,28.61,0.034952814
10,8,29,8,9,6,16,41,48,29,lz4,1,26.7,0.037453184
7,11,29,6,11,8,19,42,42,27,lz4,1,29.18,0.034270048
10,8,31,8,9,6,17,39,51,38,lz4,1,30.07,0.033255737
10,8,37,8,9,6,17,42,49,27,lz4,1,26.68,0.037481259
9,9,56,7,10,7,16,39,45,29,lz4,1,25.91,0.038595137
10,8,32,8,9,6,16,41,48,30,lz4,1,25.86,0.03866976
10,8,45,8,9,6,17,42,49,27,lz4,1,26.74,0.037397158
10,8,33,8,9,6,17,41,50,32,lz4,1,27.6,0.036231884
10,7,32,8,9,6,17,36,51,50,lz4,1,26.05,0.038387716
12,4,20,13,9,12,17,34,37,73,lz4,1,22.18,0.045085663
6,12,21,4,13,9,21,44,36,18,snappy,1,28.14,0.035536603
10,8,62,8,9,6,17,42,49,26,lz4,1,26.19,0.038182512
13,6,27,16,12,22,13,34,13,52,snappy,1,20.98,0.047664442
11,7,29,9,9,8,17,42,45,30,lz4,1,22.35,0.044742729
10,8,34,8,9,6,17,42,49,27,lz4,1,25.13,0.039793076
10,8,61,8,9,6,17,42,49,27,lz4,1,25.08,0.039872408
