num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
19,22,50,0,19,10,23,32,36,19,snappy,1,25.65,0.038986355
17,18,45,1,18,9,19,35,40,18,snappy,1,28.18,0.03548616
14,9,23,2,17,8,12,31,49,13,lz4,1,28.96,0.034530387
19,23,51,0,19,10,23,29,35,14,snappy,1,27.85,0.035906643
11,5,28,6,13,7,14,44,50,25,lz4,1,28.73,0.034806822
19,23,46,1,19,10,19,37,44,59,snappy,1,29.06,0.034411562
18,21,46,1,18,10,20,38,34,19,snappy,1,27.78,0.03599712
18,22,45,1,17,10,22,37,33,20,snappy,1,28.93,0.034566194
18,22,45,1,18,10,22,40,32,20,snappy,1,28.8,0.034722222
18,16,36,0,19,10,22,20,50,24,snappy,1,27.41,0.036483035
11,2,14,3,16,7,8,41,53,15,lz4,1,28.54,0.035038542
19,19,42,0,20,10,25,22,48,23,snappy,1,27.15,0.036832413
18,24,42,2,17,9,18,37,54,96,snappy,1,28.59,0.034977265
19,24,51,0,19,10,24,38,32,17,snappy,1,26.63,0.037551633
14,10,35,2,17,8,15,37,46,20,lz4,1,29,0.034482759
14,16,39,5,14,8,19,37,41,22,snappy,1,28.75,0.034782609
11,2,13,3,16,7,9,46,53,14,lz4,1,29.22,0.034223135
19,23,49,0,19,10,23,39,31,17,snappy,1,25.26,0.039588282
17,20,45,1,18,10,22,38,36,22,snappy,1,28.04,0.035663338
16,19,44,3,16,9,21,36,38,23,snappy,1,28.19,0.035473572
19,24,35,0,19,10,21,34,55,89,snappy,1,25.85,0.03868472
11,3,24,4,15,7,12,45,52,19,lz4,1,28.45,0.035149385
9,10,32,10,6,5,19,41,46,29,lz4,1,28.28,0.035360679
19,23,51,0,19,10,23,32,34,15,snappy,1,25.1,0.039840637
19,22,48,0,19,10,23,28,38,16,snappy,1,26.95,0.037105751
19,20,43,0,18,10,21,19,45,8,snappy,1,26.79,0.037327361
12,22,79,4,16,8,13,32,47,9,snappy,1,29.03,0.034447124
10,8,31,9,8,6,18,42,49,28,lz4,1,27.04,0.036982249
12,3,12,3,16,7,8,30,55,15,lz4,1,30.08,0.033244681
17,22,55,2,18,10,21,34,37,23,snappy,1,28.01,0.035701535
11,2,21,3,16,7,9,43,52,18,lz4,1,28.56,0.035014006
15,14,40,2,17,9,18,39,42,22,snappy,1,29.04,0.034435262
