repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
7,76,853,-4,209,15,6908,36,38314.18
6,89,689,-4,202,15,5872,289,29850.75
3,81,691,-5,222,15,4860,438,40485.83
10,100,945,-4,218,14,4415,99,49261.09
7,77,543,-3,249,17,13344,281,48543.69
3,76,534,-4,211,12,5231,116,37878.79
4,114,521,-3,179,16,12671,48,40485.83
5,117,488,-3,176,17,13175,115,39370.08
9,85,578,-5,154,15,3065,178,41841
6,105,540,-4,162,9,2800,254,38461.54
6,68,107,-2,158,6,2074,309,46948.36
9,109,804,-3,255,16,8143,90,40000
9,108,454,-4,152,13,3421,186,36630.04
6,103,495,-2,207,17,13108,288,45662.1
8,74,379,-3,220,13,7744,298,47619.05
10,136,971,-2,279,18,5587,202,42918.46
6,97,608,-3,208,17,11191,190,45871.56
8,120,778,-2,256,18,8662,195,46082.95
3,80,210,-3,190,5,1440,254,38022.81
8,76,375,-2,264,13,12087,318,47846.89
8,50,359,-2,127,8,7521,443,37878.79
7,100,810,-3,220,14,3648,209,47619.05
7,80,844,-4,196,14,4940,137,48076.92
8,131,898,-2,240,18,8909,341,50000
10,135,798,-3,269,14,5298,120,49751.24
6,98,617,-5,125,14,2369,280,48076.92
7,109,818,-3,238,15,5267,233,50000
10,147,1083,-2,312,17,1808,59,40650.41
6,86,456,-3,216,13,10539,319,39525.69
2,78,523,-5,150,12,6464,439,39062.5
7,94,509,-3,218,17,12127,294,47619.05
6,36,216,-1,141,4,10124,406,41493.78
