C,kernel,decision_function_shape,gamma,loss
0.186427,0.089257,1.571111,17.148325,68.75
0.193598,0.096962,1.561347,16.887268,68.75
0.150908,0.151405,1.587688,16.934242,68.75
0.160614,0.126747,1.599755,16.872104,68.75
12.443239,3.350187,1.307723,0.567149,74.6875
12.779192,3.3294,1.284686,0.542674,75
12.565972,3.350821,1.28884,0.594646,75
12.653038,3.345309,1.302017,0.582507,75
12.464514,3.353528,1.302975,0.510264,75.9375
12.704545,3.299937,1.293703,0.700142,76.25
7.675254,3.03459,0.251002,0.35386,77.1875
3.981794,3.79014,1.094103,1.27298,79.375
3.891894,3.815952,1.092433,1.289954,79.6875
3.833624,3.7984,1.106328,1.481853,81.25
0.127144,0.1234,1.580755,16.87176,81.25
3.785219,3.839515,1.099651,1.483006,81.25
3.644496,3.794643,1.105241,1.599411,81.5625
3.714426,3.808154,1.089108,1.516527,81.5625
1.866497,3.392197,0.846309,2.165042,84.0625
1.633433,3.428651,0.856035,2.112673,84.6875
1.762446,3.392711,0.877688,2.259225,84.6875
1.721837,3.39589,0.866037,2.2877,84.6875
1.965944,3.405947,0.8577,2.38915,85.625
15.2513,3.908246,0.534234,2.946781,85.625
15.348441,3.878035,0.535354,2.987333,85.625
15.592572,3.915944,0.556653,2.994675,85.625
1.699378,3.434011,0.858532,2.382964,85.9375
15.255764,3.880137,0.523904,3.10446,85.9375
15.500579,3.867538,0.530054,2.913106,85.9375
15.487339,3.867846,0.526417,2.928987,85.9375
7.803924,3.034559,0.256761,0.120477,86.875
0.892868,3.210925,1.973441,12.21074,87.1875
7.722375,3.024047,0.243041,0.093635,87.5
14.296621,3.508204,0.913817,4.435979,87.5
14.346409,3.497242,0.904686,4.748452,87.8125
14.2607,3.512958,0.90224,4.576091,87.8125
14.384906,3.454161,0.887846,4.649497,87.8125
14.272173,3.47688,0.903891,4.754064,87.8125
14.084193,3.458784,0.913877,4.682037,87.8125
6.293275,2.355879,1.190238,11.582015,89.0625
6.752089,2.49143,1.044014,6.08501,89.0625
7.331479,2.927542,1.897223,7.182874,89.0625
8.531457,2.562854,1.820669,4.148929,89.0625
10.668111,2.143156,1.652493,18.310074,89.0625
11.538637,2.834467,0.609847,1.779016,89.0625
13.597645,2.72959,1.777024,16.442315,89.0625
16.202306,2.298362,1.418509,7.569252,89.0625
16.575167,2.714768,1.60847,9.100069,89.0625
17.291881,2.417422,0.095308,14.793655,89.0625
17.718825,2.074674,0.947944,12.814558,89.0625
19.785102,2.187006,0.130391,10.039198,89.0625
6.179571,2.376964,1.175032,11.484737,89.0625
6.729302,2.509251,1.076108,6.086707,89.0625
7.277435,2.900451,1.890009,7.189945,89.0625
7.998335,2.972189,0.262842,0.049525,89.0625
8.573514,2.623529,1.83168,4.205246,89.0625
10.705396,2.133779,1.645071,18.356252,89.0625
11.219881,2.807786,0.61765,1.893947,89.0625
13.262461,2.795204,1.795098,16.627646,89.0625
16.050675,2.248161,1.406376,7.332767,89.0625
16.478437,2.654802,1.631123,9.090497,89.0625
17.234493,2.46462,0.115691,14.409703,89.0625
17.788687,2.062286,0.938604,13.171399,89.0625
19.616829,2.224804,0.144628,10.108038,89.0625
6.042898,2.393058,1.185424,11.23824,89.0625
6.511276,2.515856,1.074557,6.178041,89.0625
7.250882,2.939733,1.906558,6.855731,89.0625
8.578149,2.633734,1.811283,4.230705,89.0625
10.684785,2.123861,1.641987,18.156604,89.0625
11.338999,2.865231,0.627353,1.814134,89.0625
13.559027,2.798701,1.799734,16.471812,89.0625
16.136904,2.271146,1.424244,7.207491,89.0625
16.663909,2.692319,1.620769,8.899076,89.0625
17.247733,2.45652,0.095917,14.743622,89.0625
17.873145,2.075357,0.928615,13.029739,89.0625
19.894165,2.205409,0.155616,10.14588,89.0625
6.038709,2.354806,1.193593,11.488698,89.0625
6.664165,2.498545,1.055222,6.262789,89.0625
7.515923,2.906641,1.910022,7.153804,89.0625
7.790379,2.971718,0.2564,0.353637,89.0625
8.453638,2.6017,1.815348,4.367617,89.0625
10.544343,2.146732,1.671089,18.177755,89.0625
11.341764,2.876927,0.620486,1.752197,89.0625
13.541556,2.736666,1.79162,16.782862,89.0625
16.101026,2.262187,1.413221,7.353044,89.0625
16.605349,2.71678,1.611256,9.199948,89.0625
17.5993,2.475236,0.084864,14.697544,89.0625
17.600245,2.075394,0.940493,13.166618,89.0625
19.623818,2.225369,0.155463,10.16176,89.0625
6.335996,2.396811,1.169084,11.227609,89.0625
6.582362,2.544759,1.066666,6.004715,89.0625
7.577232,2.935811,1.899948,7.154051,89.0625
8.657271,2.606044,1.804643,4.198286,89.0625
10.438064,2.133599,1.679374,18.34578,89.0625
11.510538,2.861445,0.622443,1.90826,89.0625
13.579015,2.737225,1.765707,16.484569,89.0625
16.086696,2.315436,1.406713,7.53323,89.0625
16.661119,2.672817,1.625317,9.084739,89.0625
17.361933,2.418018,0.10997,14.495595,89.0625
17.839825,2.065689,0.94376,13.091411,89.0625
19.711066,2.166986,0.124821,10.374978,89.0625
6.162704,2.361449,1.164427,11.315328,89.0625
6.702579,2.544102,1.0547,6.095456,89.0625
7.401385,2.882053,1.883519,6.889802,89.0625
7.683987,2.982975,0.240181,0.397639,89.0625
8.489853,2.568118,1.817054,4.274863,89.0625
10.751825,2.09755,1.672594,18.350932,89.0625
11.470287,2.853644,0.629577,1.994231,89.0625
13.265013,2.790393,1.795819,16.738624,89.0625
16.295409,2.319213,1.405702,7.202961,89.0625
16.525562,2.672159,1.61724,8.994222,89.0625
17.366592,2.4391,0.107308,14.553076,89.0625
17.886288,2.031057,0.927528,13.032798,89.0625
19.977654,2.23682,0.156116,10.381227,89.0625
15.673477,3.725809,1.273231,11.103373,90.625
15.868728,3.734874,1.254479,10.934865,90.625
15.985487,3.743059,1.256377,11.152054,90.625
15.958724,3.713295,1.265993,10.819059,90.625
15.777809,3.731654,1.272417,11.131168,90.625
15.962688,3.727166,1.277185,11.123038,90.625
9.788964,3.579074,1.74567,11.924865,91.5625
1.076592,3.209931,1.985263,12.288569,91.5625
9.620959,3.592838,1.72347,11.630519,91.5625
1.126096,3.275082,1.975521,12.352016,91.5625
9.818556,3.53739,1.753633,11.933373,91.5625
1.06236,3.223731,1.978174,12.04242,91.5625
9.603094,3.524528,1.721709,11.746063,91.5625
1.06615,3.245975,1.986935,12.281715,91.5625
9.750975,3.561451,1.728697,11.844098,91.5625
1.185082,3.21204,1.997276,12.339353,91.5625
9.896116,3.598737,1.743328,11.915084,91.5625
14.493394,3.621465,0.048511,16.214997,92.1875
14.517279,3.618102,0.052991,16.095978,92.1875
14.409972,3.611014,0.057937,16.193817,92.1875
1.224743,0.384527,0.236938,14.321254,92.5
2.259277,0.788922,1.204721,2.577665,92.5
2.544814,0.680353,0.642693,5.60806,92.5
2.925506,0.187496,0.012382,10.59673,92.5
3.551407,0.544271,1.152155,9.765959,92.5
6.849986,0.298502,1.037218,5.328958,92.5
8.25136,0.026743,0.295249,19.232092,92.5
8.878436,0.895036,0.160006,15.125798,92.5
9.381127,0.970254,0.761042,8.342083,92.5
10.345014,0.41456,1.555941,7.909449,92.5
11.774741,0.624417,1.465066,3.230585,92.5
13.719407,0.819126,0.978205,8.76083,92.5
14.4618,3.660421,0.054623,16.306162,92.5
16.869795,3.08327,1.355636,17.339615,92.5
1.553697,0.349888,0.200737,14.342731,92.5
2.057352,0.721791,1.235942,2.776403,92.5
2.610809,0.649156,0.648035,5.858512,92.5
2.816223,0.230283,0.024739,10.413052,92.5
3.208548,0.518964,1.158154,9.606384,92.5
6.98506,0.291112,1.009293,5.543304,92.5
8.325074,0.033903,0.298365,19.331284,92.5
9.164341,0.891336,0.192821,15.088585,92.5
10.012674,0.430193,1.537013,7.643766,92.5
11.992788,0.627428,1.452929,3.54955,92.5
13.860895,0.801895,0.996353,8.766843,92.5
14.609725,3.63954,0.042752,16.286165,92.5
1.37055,0.369098,0.237305,14.122987,92.5
2.192832,0.72905,1.223855,2.4264,92.5
2.560896,0.711369,0.644284,5.646988,92.5
2.812086,0.234515,0.019345,10.674046,92.5
3.362114,0.485103,1.131138,9.712329,92.5
7.00616,0.252064,1.025277,5.35829,92.5
8.113696,0.030325,0.298928,19.493808,92.5
9.046881,0.894569,0.188476,14.93265,92.5
9.29821,0.995701,0.771661,8.144179,92.5
10.327105,0.440141,1.528444,7.751532,92.5
11.604009,0.578138,1.473316,3.58135,92.5
13.677213,0.850242,0.963053,8.559191,92.5
1.420497,0.320467,0.231937,14.053655,92.5
2.399179,0.78211,1.211372,2.46272,92.5
2.672818,0.71351,0.658112,5.902578,92.5
3.183657,0.193547,0.025513,10.520274,92.5
3.573762,0.523098,1.140793,9.886385,92.5
6.912294,0.253568,1.029209,5.549943,92.5
8.35532,0.022711,0.29587,19.459628,92.5
8.815577,0.930107,0.166901,15.001203,92.5
10.047287,0.412012,1.541455,7.966946,92.5
11.895654,0.625674,1.462744,3.324739,92.5
13.867403,0.87007,0.966122,8.550924,92.5
14.675543,3.647815,0.069158,16.375451,92.5
16.936161,3.078355,1.344249,17.316842,92.5
1.362693,0.349515,0.236659,14.032826,92.5
2.259033,0.792229,1.204793,2.777996,92.5
2.476808,0.647709,0.657121,5.981328,92.5
2.973031,0.215538,0.000114,10.64104,92.5
3.338208,0.482693,1.130554,9.966762,92.5
6.809968,0.312982,1.025259,5.279545,92.5
8.244487,0.031228,0.303593,19.226571,92.5
8.874874,0.924022,0.184384,14.808651,92.5
10.221255,0.468278,1.541944,7.629185,92.5
11.795107,0.560251,1.458447,3.471195,92.5
13.678437,0.819111,0.991568,8.4812,92.5
17.18482,3.067538,1.352799,17.291129,92.5
0.371467,0.143332,1.569032,16.877515,92.5
1.534654,0.336658,0.211888,14.055616,92.5
2.165713,0.769701,1.20491,2.683339,92.5
2.681849,0.707064,0.673223,5.698837,92.5
2.878995,0.231932,0.023265,10.519696,92.5
3.23393,0.504034,1.156904,9.938829,92.5
7.015072,0.29499,1.013731,5.271875,92.5
8.237322,0.028885,0.290081,19.480759,92.5
8.809653,0.942857,0.188687,15.098394,92.5
10.379489,0.440043,1.559542,7.620131,92.5
11.668401,0.579596,1.464895,3.406754,92.5
13.740794,0.873135,0.994066,8.582601,92.5
17.111875,3.085777,1.352616,17.300983,92.5
4.16146,3.954194,0.365421,17.785733,92.8125
4.349388,3.950366,0.372599,17.846293,92.8125
16.933036,3.083125,1.326897,17.578639,92.8125
4.070039,3.936757,0.365172,17.944677,92.8125
16.826456,3.075058,1.326611,17.591242,92.8125
4.361506,3.962729,0.390467,17.688216,92.8125
4.183743,3.955988,0.375738,17.820938,92.8125
4.070259,3.99716,0.373543,17.878092,92.8125
15.009151,3.165374,0.418278,19.631026,94.375
15.161186,3.176554,0.409709,19.994739,94.375
15.131066,3.174008,0.438257,19.863705,94.375
14.964802,3.196503,0.439078,19.897078,94.375
15.133805,3.151541,0.433897,19.640488,94.375
15.062411,3.180875,0.414335,19.824849,94.375
0.618682,1.599292,1.867052,18.677572,99.375
4.579725,1.456735,0.593319,9.278418,99.375
4.892372,1.940994,1.366073,18.997311,99.375
5.210498,1.643127,0.705119,12.706946,99.375
5.79695,1.913998,0.839963,15.829136,99.375
11.075605,1.165644,1.49811,0.885201,99.375
12.207953,1.366877,0.339887,13.764326,99.375
12.922628,1.773616,0.463251,6.549778,99.375
18.010712,1.235855,1.701271,4.844389,99.375
18.524912,1.72701,0.751218,3.986396,99.375
19.008666,1.340733,1.945251,15.2096,99.375
19.49436,1.072346,0.487295,13.538436,99.375
0.585229,1.573957,1.851121,18.483898,99.375
4.401636,1.496729,0.58382,9.438921,99.375
5.002952,1.996886,1.399361,19.19823,99.375
5.409447,1.67866,0.70291,12.698398,99.375
5.937843,1.85576,0.800208,15.977087,99.375
9.249471,1.009137,0.796078,8.240004,99.375
10.858888,1.189963,1.490029,1.157702,99.375
12.110382,1.406101,0.342888,13.934634,99.375
12.852574,1.823614,0.467689,6.678029,99.375
18.039328,1.228604,1.714673,5.102965,99.375
18.768521,1.742221,0.744323,3.835276,99.375
18.952287,1.293163,1.92545,15.375204,99.375
19.352776,1.069591,0.508285,13.586973,99.375
0.455329,1.560264,1.850683,18.618815,99.375
4.69692,1.507708,0.561141,9.478068,99.375
4.880549,1.982076,1.39284,18.871011,99.375
5.496337,1.633142,0.716861,12.580791,99.375
5.995074,1.861142,0.828337,15.958642,99.375
11.09313,1.156707,1.490216,1.1863,99.375
12.03294,1.399145,0.347781,13.969997,99.375
12.85817,1.834355,0.465905,6.767564,99.375
18.148892,1.250675,1.710235,5.04741,99.375
18.720654,1.713896,0.747297,3.64236,99.375
19.140759,1.34599,1.955713,15.551307,99.375
19.572629,1.100738,0.480327,13.568056,99.375
0.557575,1.559143,1.876643,18.782801,99.375
4.523348,1.440043,0.564332,9.468075,99.375
5.025799,1.947612,1.379559,18.853912,99.375
5.391204,1.672336,0.698776,12.567395,99.375
5.61306,1.846075,0.817319,15.653186,99.375
9.529122,1.001076,0.779615,8.138869,99.375
11.151013,1.164792,1.50486,1.163532,99.375
12.227739,1.381167,0.348528,13.917545,99.375
13.005694,1.820056,0.453065,6.674113,99.375
18.113028,1.229527,1.681147,4.877802,99.375
18.667309,1.719045,0.749002,3.889149,99.375
18.974047,1.294086,1.941522,15.496921,99.375
19.435582,1.119858,0.483206,13.532555,99.375
0.697366,1.598086,1.846068,18.495176,99.375
4.772582,1.51699,0.566461,9.238694,99.375
5.097282,1.937473,1.368441,18.941934,99.375
5.266108,1.658646,0.689581,12.699754,99.375
5.716609,1.859918,0.808121,15.762419,99.375
9.318669,1.011456,0.771474,8.21626,99.375
11.186407,1.133238,1.501361,0.989661,99.375
12.002986,1.414749,0.355095,13.798,99.375
13.174948,1.77005,0.456313,6.697676,99.375
18.310173,1.22596,1.693059,4.915467,99.375
18.552855,1.753906,0.747471,3.996072,99.375
19.025085,1.332434,1.930349,15.562874,99.375
19.548666,1.108919,0.483115,13.373954,99.375
0.550785,1.585161,1.859571,18.628407,99.375
