max_depth,n_estimators,subsample,learning_rate,min_child_weight,loss
43,889,0.403389,0.083151,4.108585,0.24375
44,888,0.410009,0.081822,4.278189,0.25
43,889,0.417932,0.09304,4.084472,0.25625
68,728,0.476143,0.011529,3.262095,0.2625
12,420,0.619456,0.367945,2.825432,0.2625
35,468,0.203423,0.181251,1.412756,0.26875
54,359,0.558965,0.135333,1.327781,0.26875
69,716,0.476589,0.018068,3.118656,0.26875
82,382,0.940719,0.291482,6.004551,0.26875
12,422,0.618798,0.372832,2.781792,0.275
41,255,0.510697,0.478506,3.756376,0.275
73,225,0.969041,0.458669,18.10877,0.275
14,427,0.613721,0.368273,2.880317,0.275
73,185,0.583212,0.639232,5.489636,0.275
43,904,0.41085,0.091237,4.32586,0.275
69,730,0.471085,0.001934,3.056819,0.275
68,722,0.475814,0.011619,3.158133,0.275
24,152,0.485733,0.593023,5.767541,0.28125
50,830,0.718333,0.792412,11.365104,0.28125
67,910,0.653247,0.440527,16.772186,0.28125
76,399,0.22615,0.068102,14.296656,0.28125
25,147,0.490609,0.584347,5.853847,0.28125
75,227,0.978912,0.459543,18.317981,0.28125
75,407,0.226874,0.07313,14.260149,0.28125
53,850,0.814983,0.255562,17.883822,0.28125
56,369,0.558804,0.133397,1.027205,0.28125
93,643,0.999931,0.148654,12.572505,0.28125
47,58,0.271931,0.238908,1.796606,0.2875
37,483,0.214792,0.18993,1.63906,0.2875
55,355,0.545411,0.137888,1.251829,0.2875
57,684,0.89683,0.021547,19.005578,0.2875
73,226,0.976319,0.441456,18.398828,0.2875
79,707,0.761277,0.81601,13.817067,0.2875
96,762,0.730054,0.895431,9.535287,0.2875
24,161,0.490067,0.598159,5.929607,0.2875
35,471,0.204675,0.192226,1.532401,0.2875
47,55,0.271481,0.233389,1.945516,0.2875
50,837,0.710954,0.794872,11.347047,0.2875
71,187,0.587111,0.625902,5.223596,0.2875
22,288,0.792688,0.2187,14.861378,0.2875
