sort_buffer_size,join_buffer_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,QPS
2776,1051,240,28,1323,5533,1676,8183,38710,221326,3825,12502,27915,6230.53
2598,1601,1648,19,1924,6623,878,96372,43459,383456,3847,9530,26905,6947.55
2697,1672,1804,13,1967,6444,842,104637,42365,411272,4024,9227,27581,6526.47
2471,1738,1633,23,1927,11416,892,110748,61692,281530,3219,12334,25030,6108.13
2526,1226,1255,86,2079,3475,98,62427,80674,362579,1335,11299,14340,7054.42
1241,1236,1407,64,2600,4799,397,92891,35117,225888,3932,7061,29138,6674.17
2148,1764,1612,29,1989,14606,824,119966,71619,200021,2717,13739,23369,6122.54
3614,1433,1468,68,1711,2892,228,58345,93687,494677,1022,13020,11991,6256.84
3286,1370,1327,72,1707,4549,274,61442,90321,446309,830,12993,10651,6217.09
2418,1548,1564,29,1910,9069,810,104942,52179,334260,3072,10935,22729,6328.74
2796,1507,1361,12,1715,6393,1129,75953,41307,370406,3913,10401,27165,6496.99
2702,1649,1712,16,1895,7773,866,104082,47957,390640,3597,10415,25340,6480.75
2282,1589,1522,32,1906,11039,779,108642,59768,287809,2818,11987,22035,6682.5
2798,1367,960,18,1561,6513,1325,52806,42961,311011,3852,11430,27392,5961.75
2410,1529,1532,32,1923,8728,814,103178,51532,333345,3061,10615,22348,7227.65
2533,1523,1366,26,1797,9085,988,88581,51538,306151,3231,11601,24529,6539.4
3153,1377,1334,69,1727,5073,321,65861,85756,433467,1035,12652,11573,6733.27
2129,1388,1350,44,1942,8641,779,91859,51459,275517,3026,10426,23265,7072.04
989,1478,1455,66,2642,11607,413,108896,61274,67732,3234,10847,28771,6641.56
2472,1530,1585,29,1886,8566,789,102874,51971,352439,3045,10729,22270,6520.62
2822,1546,1428,12,1739,6472,1084,80430,42326,380459,3916,10307,27187,5990.52
2343,1776,1562,43,1910,14771,682,108474,87891,206467,1860,15092,19221,6347.07
2457,1326,1343,68,1981,5515,359,76658,69582,357042,1891,10956,16966,6994.54
2123,1762,1623,28,1992,13907,819,119193,68298,219034,2776,13475,23263,6832.62
2852,1713,1829,8,1897,6713,899,105224,43378,431066,3976,9582,27116,6350.65
3006,1398,1372,60,1743,5900,423,73507,78572,419139,1435,12431,13850,6631.39
1924,1658,1573,37,2100,13242,749,115284,65684,190273,2837,12599,24121,6724.84
2831,1717,1822,9,1895,6916,897,105279,44189,423057,3934,9703,26956,6488.09
2792,1291,786,20,1499,6324,1393,42544,42270,291035,3813,11664,27465,6666.64
