repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
4,99,342,-3,148,11,1750,450,26809.65
5,123,188,-5,134,17,1233,330,49019.61
7,79,990,-2,182,12,977,125,50251.26
4,109,403,-1,222,8,15347,460,46296.3
10,33,971,-1,148,14,1888,382,52356.02
7,81,612,-2,175,10,3628,348,50251.26
8,54,761,-1,170,12,4139,322,49504.95
7,105,560,-2,150,12,1473,239,50505.05
6,81,665,-4,140,10,5895,383,50251.26
9,45,817,-1,148,15,3248,392,47393.37
6,94,458,-2,223,8,11337,434,50000
1,109,262,-3,154,15,5056,429,49504.95
5,56,471,-1,181,11,3252,339,48076.92
10,26,755,-1,129,20,4890,481,49261.09
2,90,297,-2,174,13,3958,357,48543.69
9,55,943,-1,155,14,1624,309,50251.26
3,85,319,-1,199,10,8313,384,47393.37
7,67,764,-4,139,10,8343,398,48076.92
3,80,382,-2,175,11,5310,345,48076.92
6,68,530,-2,209,9,10214,281,49751.24
5,60,459,-1,183,11,3412,333,49751.24
6,78,432,-2,213,8,6252,399,48309.18
10,45,855,-1,143,15,2539,402,49751.24
8,59,834,-3,144,10,7002,398,42372.88
10,36,932,-1,141,16,1642,414,46948.36
7,78,677,-3,151,14,3704,337,50505.05
7,63,695,-2,186,11,8022,332,46511.63
6,68,548,-2,215,8,10365,276,46948.36
3,100,448,-3,164,14,5427,351,46948.36
