repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
9,81,747,-3,130,12,8477,378,50505.05
10,68,1058,-3,137,14,3624,177,49261.09
6,65,427,-4,215,12,4646,332,44843.05
8,102,559,-1,254,7,3393,309,39370.08
5,76,824,-3,194,12,7929,310,43103.45
5,81,432,-2,276,5,225,368,38022.81
4,85,488,-3,181,13,10220,152,40160.64
5,86,662,-2,263,8,8778,259,41493.78
7,76,407,-2,215,7,2548,395,49751.24
8,128,874,-4,121,19,8087,467,51282.05
2,69,443,-2,190,10,5763,327,40650.41
7,78,377,-2,209,7,2120,391,40983.61
2,83,435,-5,164,17,7257,151,42735.04
5,82,481,-2,266,6,1339,331,46728.97
2,82,515,-5,187,17,5477,220,29673.59
7,86,588,-2,240,8,7239,292,41493.78
5,90,603,-3,220,15,7451,198,41841
8,90,526,-2,233,7,5334,334,48780.49
7,98,601,-2,225,10,7057,262,46296.3
6,118,698,-3,180,20,5023,433,41152.26
6,90,459,-1,282,5,114,363,49261.09
8,93,580,-2,220,9,6279,316,37174.72
11,63,1290,-2,116,15,2722,57,48543.69
6,85,597,-2,237,9,5724,243,49261.09
6,78,401,-2,207,7,3215,376,46296.3
3,65,416,-2,228,9,3048,359,46728.97
4,83,543,-4,205,15,8567,170,45871.56
