num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
13,12,75,7,16,13,17,21,51,74,lz4,1,28.95,0.034542314
11,13,84,2,16,13,18,27,63,66,lz4,1,29.38,0.03403676
19,12,74,17,19,15,18,11,39,103,none,1,30.02,0.033311126
9,20,68,2,10,12,15,9,64,59,lz4,1,31.05,0.032206119
12,13,85,2,16,13,18,24,64,65,lz4,1,30.42,0.03287311
9,20,36,1,7,12,11,16,49,104,lz4,1,27.99,0.035727045
12,13,85,2,16,13,18,25,64,65,lz4,1,30.38,0.032916392
9,20,41,1,7,12,11,14,53,97,lz4,1,28.71,0.034831069
13,11,70,13,19,18,11,8,48,39,none,1,31.29,0.031959092
17,12,73,15,19,14,17,13,39,97,none,1,26.63,0.037551633
10,18,49,6,10,13,11,13,47,75,lz4,1,30.19,0.033123551
10,20,72,2,10,13,16,10,64,73,lz4,1,26.6,0.037593985
16,11,88,10,19,13,19,23,52,76,none,1,30.15,0.033167496
9,20,39,1,7,12,11,15,51,100,lz4,1,25.76,0.038819876
11,13,64,11,17,16,8,15,43,48,none,1,26.89,0.037188546
9,15,57,7,15,13,7,16,45,35,none,1,29.98,0.03335557
14,12,65,9,16,13,15,21,45,86,none,1,28.8,0.034722222
9,20,39,1,7,12,11,15,52,99,lz4,1,27.05,0.036968577
13,10,92,2,18,13,19,32,64,62,lz4,1,26.12,0.038284839
18,12,76,16,19,15,17,11,40,95,none,1,29.99,0.033344448
13,9,96,1,20,13,19,36,66,63,lz4,1,31.18,0.032071841
11,16,82,2,14,13,17,21,64,67,lz4,1,26.59,0.037608123
10,19,43,2,8,12,12,15,53,94,lz4,1,28.46,0.035137034
10,18,75,2,11,13,16,14,64,72,lz4,1,27.86,0.035893754
9,20,36,1,7,12,10,16,50,104,lz4,1,28.18,0.03548616
16,11,70,13,18,14,16,15,40,95,none,1,26.95,0.037105751
9,21,35,1,7,12,10,16,49,103,lz4,1,28.94,0.03455425
17,12,75,16,19,16,16,8,43,75,none,1,30.07,0.033255737
10,20,58,2,9,12,14,12,59,82,lz4,1,24.22,0.041288192
10,20,66,2,10,13,15,11,62,77,lz4,1,29.75,0.033613445
16,11,78,13,18,13,17,16,44,84,none,1,30.7,0.03257329
