num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
6,6,76,12,9,17,18,15,40,30,none,1,29.57,0.033818059
8,14,77,2,16,5,22,19,28,10,snappy,1,26.3,0.038022814
11,15,67,9,18,8,19,25,36,28,none,1,29.65,0.033726813
4,1,68,20,8,10,13,44,50,20,none,1,29.45,0.033955857
10,17,78,2,15,6,22,21,27,7,snappy,1,24.26,0.041220115
5,6,82,3,16,6,15,32,41,13,none,1,30.87,0.03239391
9,11,70,5,13,11,21,18,33,19,snappy,1,27.76,0.036023055
4,8,76,2,17,2,19,17,29,13,snappy,1,29.84,0.033512064
6,6,59,17,15,9,21,28,51,23,none,1,31.08,0.032175032
10,15,75,2,15,7,22,21,29,11,snappy,1,29.52,0.033875339
5,3,88,5,16,10,13,45,53,16,none,1,31.23,0.032020493
5,5,73,11,9,18,18,12,39,23,none,1,29.68,0.033692722
10,21,89,6,16,4,19,29,27,17,snappy,1,28.35,0.035273369
10,14,78,1,15,9,22,21,33,11,snappy,1,30.56,0.032722513
4,3,75,16,9,13,16,31,48,21,none,1,29.57,0.033818059
8,14,79,7,13,10,19,21,32,18,none,1,27.1,0.036900369
6,7,81,2,16,6,17,26,36,13,snappy,1,29.01,0.034470872
9,20,84,4,16,4,21,23,23,5,snappy,1,28.97,0.034518467
7,8,78,6,16,6,17,28,41,19,snappy,1,29.79,0.033568312
9,20,84,4,16,4,21,23,23,5,snappy,1,29.75,0.033613445
6,12,77,1,16,3,21,18,28,9,snappy,1,30.35,0.032948929
10,16,77,1,15,7,23,20,28,7,snappy,1,29.33,0.034094783
5,8,75,10,10,15,19,12,35,20,none,1,29.3,0.034129693
6,8,76,3,16,4,19,23,33,16,snappy,1,29.68,0.033692722
10,6,67,11,14,10,17,40,50,23,none,1,30.6,0.032679739
9,13,78,2,15,9,21,23,33,13,snappy,1,29.49,0.0339098
11,12,65,8,16,10,20,27,41,21,none,1,30.14,0.0331785
